n,N,N_label,standard_paper_grid,paired_seed_count,complete_101_paired,flow_theta_kl_count,flow_theta_kl_mean,flow_theta_kl_sd,flow_theta_kl_min,flow_theta_kl_max,flow_theta_kl_q05,flow_theta_kl_q25,flow_theta_kl_median,flow_theta_kl_q75,flow_theta_kl_q95,gaussian_theta_kl_count,gaussian_theta_kl_mean,gaussian_theta_kl_sd,gaussian_theta_kl_min,gaussian_theta_kl_max,gaussian_theta_kl_q05,gaussian_theta_kl_q25,gaussian_theta_kl_median,gaussian_theta_kl_q75,gaussian_theta_kl_q95
100,100,N=n,1,72,0,72,9.902858540792872,1.4525081415899543,6.444907697498666,13.139076024607412,7.361514005903868,9.264397844546851,9.830544101580786,10.78152548822801,12.19021451138609,72,9.198862823688268,1.720139827565245,5.697936937402413,13.003160318517686,6.139587430351672,8.068498249029016,9.423429978684178,10.409657739765834,11.736190004819111
100,460,N=n log(n),1,72,0,72,8.240929803029733,1.2418569057294744,5.919067988484228,11.075106510037351,6.28221828089715,7.276089584140232,8.189079705677809,9.17061938407631,10.125501028155107,72,7.371526414820538,1.760367923194697,4.60026422327332,11.915841720915457,5.45933034893892,6.083974429934518,6.84732254102579,8.325241338263554,10.907444615121198
100,1000,N=n^(3/2),1,72,0,72,6.967651735738349,1.2082359052355816,4.480804095284738,10.806869406105125,5.105970492684241,6.195078907105017,6.8564120788641,7.630002489531531,8.972175681008105,72,6.389893825441193,1.2010022253550983,4.602175165287192,10.651868303989842,5.1243389743595475,5.533311985243484,6.289610433737961,6.788676744244969,8.491311121081985
100,10000,N=n^2,1,72,0,72,4.546614728964518,0.9855301806125955,3.189317022078359,7.8048908225557785,3.3341687192628076,3.920612274951691,4.309149165402916,4.991546981351935,6.4045611564247205,72,4.209714719833553,0.804483170658694,2.7567999330304884,6.711079710623753,3.0375403370478278,3.600522852855551,4.139036535164806,4.7276512609448424,5.72507718968734
500,500,N=n,1,101,1,101,9.330273286170902,1.4317993135623799,6.111127178382208,12.954812075779213,7.40011289664186,8.347175039817945,9.017078517936277,10.365184816376692,11.749479349531647,101,8.651238771197407,1.389182710871793,6.5868800884431895,14.877351609673216,7.141617948459801,7.762075755022407,8.279539420843143,9.131368554054818,11.687590302602777
500,3107,N=n log(n),1,101,1,101,6.549360798424371,1.0294052889565457,4.457894825108901,11.547530351405255,5.024493034887648,5.964459590191002,6.442726632906739,7.067532498173323,8.080572549900523,101,7.239408922440239,0.8448642063125782,5.7524938162317465,10.117551820174299,6.1671844221788525,6.652440185435781,7.178886320760463,7.740264201485986,8.876817569848413
500,11180,N=n^(3/2),1,101,1,101,4.569581967984247,0.7878594125983209,2.941103716673599,8.41042022833114,3.5896715628835283,4.140376652477643,4.4087475106202145,4.927684188942287,6.02927633071942,101,4.622031714749991,0.5771906240875678,3.6429582464891084,7.309775724772591,3.9218187317953968,4.253710485536202,4.5093659156086305,4.876325343031949,5.7063344578764665
500,250000,N=n^2,1,101,1,101,2.2515833885366856,0.7161769769133367,1.425852984710225,6.267437759620483,1.588126908741794,1.7977609179896645,2.069925324857908,2.4338059924573225,3.6853963291286918,101,2.955119404917912,0.6242814895502365,1.9162768762341904,4.910719876906041,2.1927550886999096,2.4451672976007894,2.8324777206575527,3.318105352955572,4.125531647295411
1000,1000,N=n,1,101,1,101,9.07168783137329,1.2858472620207895,6.856022069535629,14.919000453584884,7.305981669403663,8.293479588076783,8.879188793410842,9.812772546845434,11.24469793629133,101,9.088287669919957,1.001107230861017,6.720032391912089,14.039375117474705,7.81686433319973,8.460498068037367,9.04752765659914,9.483695820297442,10.514485222595527
1000,6907,N=n log(n),1,101,1,101,5.724046705244615,0.9907425574885586,4.025984161619065,10.743752099887406,4.394036768311924,5.087009642788338,5.646776586593709,6.19247249250457,7.195215361153076,101,5.988820540888527,0.7993666579583136,4.611794066989649,9.40612874897999,4.95851278910831,5.417955253482062,5.8311338685300464,6.49717588365822,7.504848707599915
1000,31622,N=n^(3/2),1,101,1,101,3.9468081023375667,1.0042696742607446,2.8165106363441934,8.324983168816418,2.99683675019374,3.3629308002186495,3.627918438329654,4.146197458526704,5.840029952659319,101,3.9672208331597565,0.47806238400478795,3.1326266571405914,6.438037619014613,3.237105579859188,3.6533611006481657,3.936997572649001,4.231682296371486,4.639342431613268
1000,1000000,N=n^2,1,101,1,101,2.206876370692431,1.1296831896604926,1.3063196575617113,8.81919621200974,1.3956893898393132,1.6117666812612266,1.8211863113345554,2.385699575952811,4.048390303871531,101,2.578592004545696,0.6024793162700235,1.7065473366556305,4.803427043186789,1.8933830375560055,2.079213414368661,2.4505247839272903,2.891684132712361,3.592328298818525
5000,5000,N=n,1,101,1,101,7.073496820283884,1.2248739667530357,4.8939651777660815,11.809877246829481,5.530826002953585,6.250762743373024,6.86672659538406,7.624422845367499,9.497149284750563,101,7.747419539341143,0.9369677374871278,5.940209050270257,11.279294304076414,6.489457929394878,7.053084791949753,7.692437307976948,8.263200513538946,9.225284819395945
5000,42585,N=n log(n),1,101,1,101,4.1884123150534665,0.7367624868424005,3.098070821413836,8.622793636814416,3.4522400737219057,3.7687292966799877,4.086927261245497,4.362435995445734,5.553490364641595,101,4.578094590962557,0.6686635119777504,3.294151091057804,6.769620303246555,3.6551611517673916,4.121072853751544,4.508119924504444,4.8191072625461135,5.889797336840196
5000,353553,N=n^(3/2),1,101,1,101,2.7501582891894567,0.8390507501288227,1.7544100792662785,8.760066154273087,2.011175341106002,2.2374172439262976,2.5890431442191244,2.914371350920103,4.105675060058189,101,3.1681055538150105,0.6343705620102494,2.1959570397163337,4.710210097979459,2.4273837455676994,2.741451953016806,2.984073887014313,3.4604641438817567,4.57692943619625
5000,25000000,N=n^2,1,91,0,91,2.659848122363098,2.5217732223428224,1.3628618406184456,24.420063462334422,1.612276635565038,1.9170776735355881,2.2181328486528167,2.5125480612896243,3.773365405351104,91,2.7412266290222296,0.5191290183779885,1.7615132817800323,4.671121410886898,2.0541424897995393,2.422493404908801,2.674945259515939,3.0224345024952366,3.6178460157381918
10000,10000,N=n,0,101,1,101,6.514576488951886,1.0028957135723773,4.779864341176424,11.412239312987047,5.404773049353645,5.8981840364261355,6.342233281150057,6.900039576585223,7.985965042591238,101,6.767688033427155,0.7808903371650217,5.484818621764844,9.909279217311795,5.879375190178651,6.190084387731671,6.658120695439203,7.21993566705522,8.188536594513321
10000,92103,N=n log(n),0,101,1,101,3.872268153389344,0.9061576546381076,2.8201186667500115,9.55388102853117,2.984889111186095,3.3193652801664366,3.672045338889254,4.22848553788971,5.118164940829045,101,4.305106992743385,0.6327246009737322,3.207423545953007,6.748409106638126,3.4205810255743936,3.8584913903271154,4.216870763697565,4.629985927940682,5.327418133122283
10000,1000000,N=n^(3/2),0,101,1,101,2.855359507158594,0.9625581669236094,1.8757880895079444,7.4403404902162675,1.9705510599994538,2.272515090737807,2.556864426900669,3.170379109391235,4.4447678916758475,101,3.0207911123411098,0.4542600230713403,2.2907091770006582,4.555357502855466,2.4264562002542034,2.6960527111900547,2.8800364173241104,3.3447482197904037,3.8406666644036376
20000,20000,N=n,0,101,1,101,6.015700674495788,0.8409354369475313,4.848436349885809,10.985017530656082,5.163972922132276,5.532368443875741,5.86627466767336,6.3269732058027435,7.262038443166479,101,6.283890814664524,0.7630237151209418,4.951705606610452,8.582018753204181,5.33492711001356,5.80328723825726,6.134645481605245,6.57468905495515,7.7751112491981464
20000,198069,N=n log(n),0,101,1,101,3.757280931814525,0.9841613329519635,2.32664612030422,10.17233037506235,2.7746656133295002,3.2035771074116464,3.5549725172206017,4.004418513032966,5.317571987620574,101,4.221175276989181,0.7925515363925222,2.9618529180543325,7.455346470954616,3.326684213588589,3.6404983795970765,4.09519755803527,4.674230075372969,5.486356896031742
